veiculo,preco,comprimento,motor,ni
Asia Towner,9440.0,3.36,40,I
Audi A3,38850.0,4.15,125,I
Chevrolet Astra,10532.0,4.11,110,N
Chevrolet Blazer,16346.0,4.60,106,N
Chevrolet Corsa,6176.0,3.73,60,N
Chevrolet Tigra,12890.0,3.92,100,I
Chevrolet Vectra,13140.0,4.47,110,N
Chrysler Neon,31640.0,4.36,115,I
Dodge Dakota,11630.0,4.98,121,N
Fiat Fiorino,6700.0,4.16,76,N
Fiat Marea,12923.0,4.39,127,N
Fiat Mille,5257.0,3.64,57,N
Fiat Palio,6260.0,3.73,61,N
Fiat Siena,7780.0,4.10,61,I
Ford Escort,10767.0,4.20,115,I
Ford Fiesta,6316.0,3.83,52,N
Ford Ka,5680.0,3.62,54,N
Ford Mondeo,33718.0,4.56,130,I
Honda Civic,14460.0,4.45,106,N
Hyundai Accent,21500.0,4.12,91,I
Peugeot 106,13840.0,3.68,50,I
Renault Clio,13700.0,3.70,74,I
Toyota Corolla,15520.0,4.39,116,N
Toyota Perua,24632.0,4.40,96,N
VW Gol,6340.0,3.81,54,N
VW Golf,22200.0,4.15,100,I
VW Parati,9300.0,4.08,69,N
VW Polo,12018.0,4.14,99,I
VW Santana,11386.0,4.57,101,N
VW Saveiro,7742.0,4.38,88,N
